Taxon	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
Eusarsiella capillaris	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella carinata	1	1	0	0	0	?	0	1	0	1	1	0	1	1	1	1	1	1	?	1	0	?	0	0	1	2	2	2	1	1	1	0	1	?
Eusarsiella childi	1	1	0	2	1	1	0	1	1	2	$	0	1	1	1	1	1	1	0	1	0	2	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella claviformis	1	1	0	1	0	1	0	2	0	1	1	1	2	2	1	1	1	1	1	1	0	2	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella concentricostata	1	1	0	1	1	1	0	1	1	2	1	1	2	2	?	1	1	1	1	1	0	2	0	0	0	2	2	2	1	1	1	0	?	?
Eusarsiella cornuta	1	1	0	0	0	1	0	1	1	2	1	1	2	2	1	1	1	1	?	1	1	1	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella costata	1	1	0	0	1	1	0	0	1	2	2	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	2	2	1	1	1	0	1	0
Eusarsiella cresseyi	1	1	0	2	0	1	0	1	1	2	2	0	1	1	1	1	1	1	1	1	1	2	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella culteri	1	1	0	0	0	1	0	1	0	1	$	0	1	1	1	1	1	1	1	1	0	2	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella dentifera	1	1	0	1	1	1	0	1	0	1	1	1	2	2	1	1	1	1	0	1	0	1	0	0	1	1	2	2	1	1	1	0	1	0
Eusarsiella dispar	1	1	0	2	0	1	0	1	1	2	1	0	1	1	1	1	1	1	0	1	0	2	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella dominicana	1	1	0	0	1	1	0	2	1	2	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella donabbotti	1	1	0	0	0	1	0	1	0	1	1	1	2	2	?	1	1	1	1	1	0	1	0	0	1	?	2	2	1	1	1	0	?	?
Eusarsiella dornellasae	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	$	1	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella edax	1	1	0	2	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	2	2	1	1	1	0	1	0
Eusarsiella elofsoni	1	1	0	2	0	1	0	1	1	2	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella fallomagna	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	2	2	1	1	1	0	1	0
Eusarsiella falx	1	1	1	0	0	1	0	2	0	0	1	0	0	$	1	1	1	1	1	1	0	1	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella fax	1	1	0	1	0	1	0	2	0	1	$	1	2	2	1	1	1	1	1	1	0	1	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella gettlesoni	1	1	0	0	0	1	0	1	0	1	2	1	2	2	1	1	1	1	1	1	0	2	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella gomoiui	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella greyi	1	1	0	0	0	1	0	1	1	2	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella iayx	1	1	0	2	1	1	0	1	1	2	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	$	2	2	1	1	1	0	1	0
Eusarsiella janicea	1	0	0	0	0	1	0	2	0	1	1	1	2	2	0	1	1	1	1	1	0	1	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella longipenna	1	1	0	0	0	1	0	1	1	2	1	0	0	1	1	1	1	1	1	1	0	2	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella lunata	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	2	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella magna	1	1	0	0	1	?	0	0	1	2	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	2	2	1	1	1	0	1	0
Eusarsiella maurae	1	1	0	2	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella microthrix	1	1	0	0	1	1	0	1	1	1	1	0	1	1	?	1	1	1	0	1	0	0	0	0	1	1	2	2	1	1	1	0	1	0
Eusarsiella neapolis	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	2	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella nodimarginis	1	1	0	0	0	1	0	0	1	2	1	*	$	$	1	1	1	1	0	1	0	1	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella ocula	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella ovalis	1	0	1	1	1	1	0	1	1	2	2	1	2	2	1	1	1	1	1	1	1	2	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella ozotothrix	1	1	0	0	1	1	0	1	0	1	2	0	1	1	0	1	1	1	?	1	0	2	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella paniculata	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	2	2	2	1	1	1	0	1	0
