Taxon	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17							
Stenocypris major	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Chrissia achandii	1	0	0	2	1	0	0	1	1	1	1	0	0	1	1	1	0	1							
Chrissia aldabrae	1	0	2	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0							
Chrissia ametra	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1							
Chrissia ametra minor	1	1	2	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1							
Chrissia bispinosa	1	1	0	0	1	1	1	1	1	1	?	?	?	?	?	?	?	?							
Chrissia canaliculata	1	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0							
Chrissia ceylonica	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0							
Chrissia cultrata	1	0	2	0	1	0	0	1	1	1	0	0	0	1	1	?	1	1							
Chrissia declivis	1	0	1	0	0	0	0	0	1	1	?	?	0	0	0	1	1	0							
Chrissia dongqianhuensis	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0							
Chrissia fasciculata	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0							
Chrissia fascigera	1	0	1	0	0	0	0	0	1	1	?	?	0	1	1	1	0	0							
Chrissia formosa	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0							
Chrissia fuelleborni	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0							
Chrissia goddeerisi	1	0	2	2	1	1	2	1	1	1	1	0	0	1	1	1	1	1							
Chrissia halyi	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0							
Chrissia hodgsoni	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1							
Chrissia humilis	1	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0							
Chrissia icosacantha	1	0	2	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0							
Chrissia junodi	1	0	2	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0							
Chrissia khopoliensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Chrissia levetzovi	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0							
Chrissia monodi	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0							
Chrissia ousmana	1	0	1	0	0	0	0	0	0	0	1	0	?	0	0	0	0	0							
Chrissia pectinata	1	0	1	0	0	0	0	0	1	1	?	?	0	0	1	0	0	1							
Chrissia perarmata	1	0	0	0	0	0	0	0	1	0	0	0	?	0	1	0	0	1							
Chrissia sinuata	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1							
Chrissia smaragdina	1	0	1	0	0	0	0	1	1	1	?	?	0	0	1	0	0	1							
Chrissia spinosa	1	0	0	0	0	0	0	0	0	0	1	0	?	0	0	1	1	0							
Chrissia vittata	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0							
Chrissia werneri	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1							
