Taxon	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
Thaumatoconcha polythrix	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1
Thaumatoconcha porosa	0	0	0	1	?	?	0	?	?	0	0	0	1	1	1	0	0	?	0	0	1	?	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1
Thaumatoconcha punctata	0	0	?	?	1	1	?	1	0	0	0	0	1	1	1	0	0	0	0	?	?	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1
Thaumatoconcha quasiporosa	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1
Thaumatoconcha radiata	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1
Thaumatoconcha sandersi	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1
Thaumatoconcha tuberculata	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1
Thaumatoconcha angeli n.sp.	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	?	0	0	1
Thaumatocypris echinata	0	0	?	?	1	0	?	?	0	0	1	1	1	1	1	0	0	0	0	?	?	3	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	2	0	1	2
Thaumatocypris rudjakovi	0	0	0	1	?	?	0	0	?	0	0	1	1	1	1	0	0	?	0	0	2	3	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	2	0	0	2
