Taxon	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
Cryptocandona dudichi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candonopsis (Abcandonopsis) aula	1	1	1	1	1	0	0	-	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	-	1	1	0	0	1	1	1	1	1	1
Candonopsis (Abcandonopsis) indoles	1	1	1	-	1	-	0	-	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	-	1	0	-	0	1	1	1	1	1	1
Candonopsis (Abcandonopsis) williami	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	1	1
Candonopsis (Candonopsis) africana	1	1	1	-	1	0	0	1	1	0	0	-	0	1	-	-	-	0	0	0	0	-	-	0	1	0	0	0	1	1	-	-	-	-
Candonopsis (Candonopsis) anteroacuta	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
Candonopsis (Candonopsis) boui	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	-	1	0	1	0	0	0	1	1	0	1	1	1
Candonopsis (Candonopsis) bujukuensis	1	1	1	1	1	0	0	1	1	0	0	-	0	1	-	1	-	0	0	0	0	-	0	0	1	0	0	0	1	1	-	-	-	-
Candonopsis (Candonopsis) dani	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
Candonopsis (Candonopsis) hummelincki	1	1	1	-	1	-	0	-	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	-	-	0	-	0	1	1	0	1	0	0
Candonopsis (Candonopsis) kingsleii	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0
Candonopsis (Candonopsis) kimberleyi	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	2	0	0	1	1	0
Candonopsis (Candonopsis) mareza	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
Candonopsis (Candonopsis) murchisoni	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
Candonopsis (Candonopsis) nama	1	1	1	1	1	0	0	1	1	0	0	0	0	1	-	1	0	0	0	0	0	-	0	0	1	0	0	0	1	1	-	-	-	-
Candonopsis (Candonopsis) navicula	1	1	1	-	1	-	0	-	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	-	-	0	-	0	1	1	0	0	0	0
Candonopsis (Candonopsis) putealis	1	1	1	-	1	0	0	1	1	0	0	-	0	1	-	1	-	0	0	0	0	-	1	0	1	0	0	0	1	1	-	-	-	-
Candonopsis (Candonopsis) sourfieldi	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0
Candonopsis (Candonopsis) solitaria	1	1	1	-	1	0	0	1	1	0	0	-	0	1	-	-	-	0	0	0	0	-	-	0	1	0	0	0	1	1	-	-	-	-
Candonopsis (Candonopsis) sumatrana	1	1	1	-	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
Candonopsis (Candonopsis) tenuis	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
Candonopsis (Candonopsis) thienemanni	1	1	1	1	1	0	0	1	1	0	0	0	0	0	-	1	-	0	1	0	0	-	-	0	1	0	0	0	0	0	-	-	-	-
Candonopsis (Candonopsis) trichota	1	1	1	-	1	-	0	-	1	0	0	0	0	0	-	1	-	0	0	0	0	-	-	-	-	0	-	0	0	0	-	-	-	-
Candonopsis (Candonopsis) urmilae	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	-	1	0	1	0	0	0	1	1	-	1	1	0
Candonopsis (Candonopsis) westaustraliensis	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1
Cubacandona cubensis	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	-	0	0	1	0	1	-	1	1	0	0	1	0	2	1	0	1	1	0
Cubacandona anisitsi	1	1	1	-	1	1	0	0	0	0	0	-	0	0	-	-	-	0	-	0	0	-	-	1	0	0	-	0	2	1	-	-	-	-
Cubacandona columbiensis	1	0	0	1	1	1	1	0	0	0	0	0	0	0	-	1	-	0	1	-	0	-	1	1	0	0	0	0	1		-	-	-	-
Cubacandona falclandica	1	1	1	-	1	1	0	1	0	0	0	-	0	0	-	1	-	0	-	0	0	-	-	1	0	0	0	0	1	1	-	-	-	-
Caribecandona trapezoidea	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	1	0	0
Caribecandona auricularia	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0
Caribecandona ansa	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	1	0	0
Pioneercandonopsis hancocki	1	1	1	1	1	1	0	1	0	0	2	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1
